DateExecuted,Type,MarketName,ContractName,Shares,Price,ProfitLoss,Fees,Risk,CreditDebit,URL
1/10/2020 1:17 PM,Buy No,How many Democrats will have dropped out by January 31?,15,8,$0.64,$0.00,$0.000,($5.120),($5.120),https://www.predictit.org/markets/detail/6266
1/10/2020 1:17 PM,Buy No,How many Democrats will have dropped out by January 31?,15,1,$0.63,$0.00,$0.000,($0.630),($0.630),https://www.predictit.org/markets/detail/6266
1/10/2020 1:17 PM,Buy No,How many Democrats will have dropped out by January 31?,15,1,$0.62,$0.00,$0.000,($0.620),($0.620),https://www.predictit.org/markets/detail/6266
1/10/2020 5:17 AM,Sell No,Will Andrew Yang win at least one primary?,No,1,$0.94,$0.07,($0.007),$0.870,$0.933,https://www.predictit.org/markets/detail/6112
1/09/2020 11:29 PM,Sell No,Will Michael Bloomberg win at least one primary?,Bloomberg-wins-at-least-one-primary,5,$0.81,$0.05,($0.005),$4.000,$4.045,https://www.predictit.org/markets/detail/6116
1/09/2020 8:03 PM,Sell No,How many Democrats will have dropped out by January 31?,14-or-fewer,3,$0.70,$0.12,($0.012),$1.980,$2.088,https://www.predictit.org/markets/detail/6266
1/09/2020 8:01 PM,Sell No,How many Democrats will have dropped out by January 31?,14-or-fewer,2,$0.70,$0.08,($0.008),$1.320,$1.392,https://www.predictit.org/markets/detail/6266
1/09/2020 6:30 PM,Sell No,Which of these 13 members of Trump’s Cabinet will leave next?,Pompeo,9,$0.85,$0.45,($0.045),$7.200,$7.605,https://www.predictit.org/markets/detail/6199
1/09/2020 12:58 PM,Buy No,Who will win the 2020 Democratic presidential nomination?,Bloomberg,5,$0.90,$0.00,$0.000,$0.450,$0.450,https://www.predictit.org/markets/detail/3633
1/09/2020 12:33 PM,Buy No,Will Michael Bloomberg win at least one primary?,No,5,$0.80,$0.00,$0.000,($4.000),($4.000),https://www.predictit.org/markets/detail/6116
1/09/2020 11:26 AM,Sell No,Who will win the 2020 New Hampshire Democratic primary?,Sanders,5,$0.45,$0.35,($0.035),$1.900,$2.215,https://www.predictit.org/markets/detail/5344
1/09/2020 11:26 AM,Sell No,Who will win the 2020 New Hampshire Democratic primary?,Sanders,10,$0.45,$0.40,($0.040),$4.100,$4.460,https://www.predictit.org/markets/detail/5344
1/09/2020 11:15 AM,Sell No,Who will win the 2020 New Hampshire Democratic primary?,Sanders,10,$0.45,$0.20,($0.020),$4.300,$4.480,https://www.predictit.org/markets/detail/5344
1/08/2020 10:08 PM,Sell No,Which of these 13 members of Trump’s Cabinet will leave next?,Pompeo,1,$0.85,$0.05,($0.005),$0.800,$0.845,https://www.predictit.org/markets/detail/6199
1/08/2020 6:06 PM,Buy Yes,Who will win the 2020 Democratic presidential nomination?,Warren,5,$0.11,$0.00,$0.000,($0.550),($0.550),https://www.predictit.org/markets/detail/3633
1/07/2020 3:49 PM,Sell No,Who will win the 2020 Democratic presidential nomination?,Bloomberg,4,$0.91,$0.16,($0.016),($0.468),($0.324),https://www.predictit.org/markets/detail/3633
1/07/2020 3:49 PM,Sell No,Who will win the 2020 Democratic presidential nomination?,Bloomberg,1,$0.91,$0.04,($0.004),($0.117),($0.081),https://www.predictit.org/markets/detail/3633
1/07/2020 12:29 PM,Buy No,Who will win the 2020 New Hampshire Democratic primary?,Sanders,5,$0.38,$0.00,$0.000,($1.900),($1.900),https://www.predictit.org/markets/detail/5344
1/06/2020 10:42 PM,Buy No,Who will win the 2020 New Hampshire Democratic primary?,Sanders,5,$0.40,$0.00,$0.000,($2.000),($2.000),https://www.predictit.org/markets/detail/5344
1/06/2020 6:29 PM,Sell Yes,Which of these 13 members of Trump’s Cabinet will leave next?,Azar,5,$0.13,$0.10,($0.010),$0.550,$0.640,https://www.predictit.org/markets/detail/6199
1/06/2020 6:28 PM,Sell No,Will Mike Pompeo file to run for Senate by Mar. 1?,Pompeo-to-run-for-Senate-by-3-1,5,$0.95,$0.30,($0.030),$4.450,$4.720,https://www.predictit.org/markets/detail/6036
1/06/2020 6:09 PM,Sell No,Will Mike Pompeo file to run for Senate by Mar. 1?,No,20,$0.95,$1.25,($0.125),$17.750,$18.875,https://www.predictit.org/markets/detail/6036
1/06/2020 6:06 PM,Buy No,Will Mike Pompeo file to run for Senate by Mar. 1?,No,20,$0.89,$0.00,$0.000,($17.800),($17.800),https://www.predictit.org/markets/detail/6036
1/06/2020 6:00 PM,Buy No,Will Mike Pompeo file to run for Senate by Mar. 1?,No,5,$0.88,$0.00,$0.000,($4.400),($4.400),https://www.predictit.org/markets/detail/6036
1/06/2020 5:59 PM,Buy Yes,Which of these 13 members of Trump’s Cabinet will leave next?,Azar,5,$0.11,$0.00,$0.000,($0.550),($0.550),https://www.predictit.org/markets/detail/6199
1/06/2020 5:58 PM,Buy No,Which of these 13 members of Trump’s Cabinet will leave next?,Pompeo,10,$0.80,$0.00,$0.000,($8.000),($8.000),https://www.predictit.org/markets/detail/6199
1/06/2020 5:57 PM,Sell Yes,Which of these 13 members of Trump’s Cabinet will leave next?,Pompeo,4,$0.33,($1.56),$0.000,$2.880,$1.320,https://www.predictit.org/markets/detail/6199
1/06/2020 5:57 PM,Sell Yes,Which of these 13 members of Trump’s Cabinet will leave next?,Pompeo,5,$0.35,($1.85),$0.000,$3.600,$1.750,https://www.predictit.org/markets/detail/6199
1/06/2020 5:57 PM,Sell Yes,Which of these 13 members of Trump’s Cabinet will leave next?,Pompeo,1,$0.36,($0.36),$0.000,$0.720,$0.360,https://www.predictit.org/markets/detail/6199
1/06/2020 2:55 PM,Buy No,Who will win the 2020 New Hampshire Democratic primary?,Sanders,10,$0.42,$0.00,$0.000,($4.200),($4.200),https://www.predictit.org/markets/detail/5344
1/06/2020 2:40 PM,Buy No,Who will win the 2020 New Hampshire Democratic primary?,Sanders,5,$0.44,$0.00,$0.000,($2.200),($2.200),https://www.predictit.org/markets/detail/5344
1/06/2020 9:51 AM,Sell Yes,Who will win the 2020 Iowa Democratic caucuses?,Klobuchar,10,$0.05,$0.20,($0.020),$0.300,$0.480,https://www.predictit.org/markets/detail/5241
1/04/2020 5:00 PM,Sell Yes,Will Tom Steyer qualify for the January Democratic debate?,Will-Steyer-qualify-for-the-Jan-debate,1,$0.16,$0.06,($0.006),$0.100,$0.154,https://www.predictit.org/markets/detail/6246
1/04/2020 5:00 PM,Sell Yes,Will Tom Steyer qualify for the January Democratic debate?,Yes,4,$0.16,$0.24,($0.024),$0.400,$0.616,https://www.predictit.org/markets/detail/6246
1/03/2020 3:19 PM,Sell No,How many candidates will qualify for the January Democratic debate?,5,5,$0.21,$0.05,($0.005),$1.000,$1.045,https://www.predictit.org/markets/detail/6243
1/03/2020 3:09 PM,Sell No,How many Democrats will have dropped out by January 31?,14-or-fewer,3,$0.92,$0.78,($0.078),$1.980,$2.682,https://www.predictit.org/markets/detail/6266
1/03/2020 12:13 PM,Buy No,How many candidates will qualify for the January Democratic debate?,5,5,$0.20,$0.00,$0.000,($1.000),($1.000),https://www.predictit.org/markets/detail/6243
1/03/2020 9:41 AM,Sell Yes,Will Tom Steyer qualify for the January Democratic debate?,Yes,4,$0.30,$0.80,($0.080),$0.400,$1.120,https://www.predictit.org/markets/detail/6246
1/02/2020 3:24 PM,Buy Yes,Will Tom Steyer qualify for the January Democratic debate?,Yes,1,$0.10,$0.00,$0.000,($0.100),($0.100),https://www.predictit.org/markets/detail/6246
1/02/2020 2:46 PM,Buy No,How many Democrats will have dropped out by January 31?,14-or-fewer,8,$0.66,$0.00,$0.000,($5.280),($5.280),https://www.predictit.org/markets/detail/6266
1/02/2020 2:16 PM,Buy Yes,Will Tom Steyer qualify for the January Democratic debate?,Yes,5,$0.10,$0.00,$0.000,($0.500),($0.500),https://www.predictit.org/markets/detail/6246
1/02/2020 1:55 PM,Buy Yes,Will Tom Steyer qualify for the January Democratic debate?,Yes,3,$0.10,$0.00,$0.000,($0.300),($0.300),https://www.predictit.org/markets/detail/6246
1/02/2020 12:28 AM,Sell Yes,How many candidates will qualify for the January Democratic debate?,6,1,$0.11,($0.13),$0.000,$0.240,$0.110,https://www.predictit.org/markets/detail/6243
1/02/2020 12:23 AM,Sell Yes,How many candidates will qualify for the January Democratic debate?,5,2,$0.87,$0.22,($0.022),$1.520,$1.718,https://www.predictit.org/markets/detail/6243
1/01/2020 1:36 AM,Sell Yes,How many candidates will qualify for the January Democratic debate?,7,1,$0.07,$0.00,$0.000,$0.070,$0.070,https://www.predictit.org/markets/detail/6243
12/31/2019 10:51 AM,Buy Yes,How many candidates will qualify for the January Democratic debate?,7,1,$0.07,$0.00,$0.000,($0.070),($0.070),https://www.predictit.org/markets/detail/6243
12/31/2019 10:51 AM,Buy Yes,How many candidates will qualify for the January Democratic debate?,6,1,$0.24,$0.00,$0.000,($0.240),($0.240),https://www.predictit.org/markets/detail/6243
12/31/2019 10:51 AM,Buy Yes,How many candidates will qualify for the January Democratic debate?,5,2,$0.76,$0.00,$0.000,($1.520),($1.520),https://www.predictit.org/markets/detail/6243
12/30/2019 3:33 PM,Sell No,Will Andrew Yang qualify for the January Democratic debate?,Will-Yang-qualify-for-the-Jan-debate,10,$0.76,$0.60,($0.060),$7.000,$7.540,https://www.predictit.org/markets/detail/6244
12/30/2019 1:23 PM,Buy No,Will Andrew Yang qualify for the January Democratic debate?,No,10,$0.70,$0.00,$0.000,($7.000),($7.000),https://www.predictit.org/markets/detail/6244
12/27/2019 8:54 PM,Sell Yes,Who will win the 2020 Iowa Democratic caucuses?,Klobuchar,5,$0.08,$0.25,($0.025),$0.150,$0.375,https://www.predictit.org/markets/detail/5241
12/27/2019 8:53 PM,Sell Yes,Who will win the 2020 Democratic presidential nomination?,Klobuchar,5,$0.05,$0.05,($0.005),$0.200,$0.245,https://www.predictit.org/markets/detail/3633
12/27/2019 6:57 PM,Buy Yes,Which of these 13 members of Trump’s Cabinet will leave next?,Pompeo,10,$0.72,$0.00,$0.000,($7.200),($7.200),https://www.predictit.org/markets/detail/6199
12/27/2019 12:37 PM,Buy No,Will Andrew Yang win at least one primary?,No,5,$0.87,$0.00,$0.000,($4.350),($4.350),https://www.predictit.org/markets/detail/6112
12/27/2019 12:09 PM,Sell Yes,Who will win the 2020 Democratic presidential nomination?,Klobuchar,15,$0.05,$0.25,($0.025),$0.500,$0.725,https://www.predictit.org/markets/detail/3633
12/26/2019 11:43 AM,Sell No,How many Democrats will have dropped out by Dec. 31?,13,3,$0.13,$0.03,($0.003),$0.360,$0.387,https://www.predictit.org/markets/detail/6176
12/26/2019 10:50 AM,Sell No,Who will win the 2020 Iowa Democratic caucuses?,Buttigieg,5,$0.74,$0.00,$0.000,($1.170),($1.170),https://www.predictit.org/markets/detail/5241
12/26/2019 10:22 AM,Sell Yes,Who will win the 2020 Iowa Democratic caucuses?,Klobuchar,25,$0.09,$1.30,($0.130),$0.950,$2.120,https://www.predictit.org/markets/detail/5241
12/25/2019 10:50 PM,Buy No,How many Democrats will have dropped out by Dec. 31?,13,3,$0.12,$0.00,$0.000,($0.360),($0.360),https://www.predictit.org/markets/detail/6176
12/25/2019 12:52 AM,Sell Yes,Who will win the 2020 Iowa Democratic caucuses?,Klobuchar,40,$0.10,$2.05,($0.205),$1.950,$3.795,https://www.predictit.org/markets/detail/5241
12/25/2019 12:52 AM,Sell Yes,Who will win the 2020 Iowa Democratic caucuses?,Klobuchar,10,$0.10,($0.20),$0.000,$1.200,$1.000,https://www.predictit.org/markets/detail/5241
12/21/2019 6:38 PM,Sell Yes,Who will win the 2020 Iowa Democratic caucuses?,Klobuchar,80,$0.12,$0.00,$0.000,$9.600,$9.600,https://www.predictit.org/markets/detail/5241
12/20/2019 9:25 PM,Sell No,How many Democrats will have dropped out by Dec. 31?,13,1,$0.85,$0.06,($0.006),$0.790,$0.844,https://www.predictit.org/markets/detail/6176
12/20/2019 9:25 PM,Sell No,How many Democrats will have dropped out by Dec. 31?,13,4,$0.85,$0.24,($0.024),$3.160,$3.376,https://www.predictit.org/markets/detail/6176
12/20/2019 8:53 PM,Sell Yes,Who will win the 2020 Democratic presidential nomination?,Klobuchar,10,$0.06,($0.10),$0.000,$0.700,$0.600,https://www.predictit.org/markets/detail/3633
12/20/2019 8:53 PM,Sell Yes,Who will win the 2020 Democratic presidential nomination?,Klobuchar,10,$0.06,$0.10,($0.010),$0.500,$0.590,https://www.predictit.org/markets/detail/3633
12/19/2019 9:18 AM,Sell Yes,"Will Benjamin Netanyahu be prime minister of Israel on Dec. 31, 2020?",Netanyahu-Israeli-PM-on-12-31-20,1,$0.69,$0.09,($0.009),$0.600,$0.681,https://www.predictit.org/markets/detail/6238
12/19/2019 9:09 AM,Buy Yes,"Will Benjamin Netanyahu be prime minister of Israel on Dec. 31, 2020?",Yes,1,$0.60,$0.00,$0.000,($0.600),($0.600),https://www.predictit.org/markets/detail/6238
12/18/2019 5:52 PM,Sell Yes,Will Tulsi Gabbard vote Nay on any article of impeachment by 12/30?,Gabbard-Nay-on-impeachment-by-12-30,9,$0.44,$0.18,($0.018),$3.780,$3.942,https://www.predictit.org/markets/detail/6224
12/18/2019 5:28 PM,Sell Yes,Will Tulsi Gabbard vote Nay on any article of impeachment by 12/30?,Yes,9,$0.44,($1.06),$0.000,$5.020,$3.960,https://www.predictit.org/markets/detail/6224
12/18/2019 5:28 PM,Sell Yes,Will Tulsi Gabbard vote Nay on any article of impeachment by 12/30?,Yes,1,$0.44,$0.02,($0.002),$0.420,$0.438,https://www.predictit.org/markets/detail/6224
12/18/2019 5:16 PM,Sell Yes,Will Tulsi Gabbard vote Nay on any article of impeachment by 12/30?,Yes,1,$0.44,($0.09),$0.000,$0.530,$0.440,https://www.predictit.org/markets/detail/6224
12/18/2019 1:37 PM,Buy Yes,Will Tulsi Gabbard vote Nay on any article of impeachment by 12/30?,Yes,10,$0.42,$0.00,$0.000,($4.200),($4.200),https://www.predictit.org/markets/detail/6224
12/18/2019 11:18 AM,Sell Yes,Who will speak the least at the December Democratic debate?,Yang,10,$0.43,$0.20,($0.020),$4.100,$4.280,https://www.predictit.org/markets/detail/6220
12/18/2019 11:01 AM,Sell Yes,Who will speak the least at the December Democratic debate?,Steyer,5,$0.42,$0.50,($0.050),$1.600,$2.050,https://www.predictit.org/markets/detail/6220
12/18/2019 11:01 AM,Sell Yes,Who will speak the least at the December Democratic debate?,Steyer,5,$0.42,$0.15,($0.015),$1.950,$2.085,https://www.predictit.org/markets/detail/6220
12/18/2019 10:42 AM,Sell Yes,Will Tulsi Gabbard vote Nay on any article of impeachment by 12/30?,Yes,5,$0.63,$0.50,($0.050),$2.650,$3.100,https://www.predictit.org/markets/detail/6224
12/18/2019 9:10 AM,Buy Yes,Will Tulsi Gabbard vote Nay on any article of impeachment by 12/30?,Yes,2,$0.58,$0.00,$0.000,($1.160),($1.160),https://www.predictit.org/markets/detail/6224
12/18/2019 9:09 AM,Buy Yes,Will Tulsi Gabbard vote Nay on any article of impeachment by 12/30?,Yes,3,$0.58,$0.00,$0.000,($1.740),($1.740),https://www.predictit.org/markets/detail/6224
12/17/2019 6:59 PM,Buy Yes,Will Tulsi Gabbard vote Nay on any article of impeachment by 12/30?,Yes,5,$0.53,$0.00,$0.000,($2.650),($2.650),https://www.predictit.org/markets/detail/6224
12/17/2019 6:43 PM,Sell Yes,Will Tulsi Gabbard vote Nay on any article of impeachment by 12/30?,Yes,5,$0.57,$0.20,($0.020),$2.650,$2.830,https://www.predictit.org/markets/detail/6224
12/17/2019 6:40 PM,Buy Yes,Will Tulsi Gabbard vote Nay on any article of impeachment by 12/30?,Yes,10,$0.53,$0.00,$0.000,($5.300),($5.300),https://www.predictit.org/markets/detail/6224
12/17/2019 6:13 PM,Sell Yes,Will Tulsi Gabbard vote Nay on any article of impeachment by 12/30?,Gabbard-Nay-on-impeachment-by-12-30,10,$0.60,$1.00,($0.100),$5.000,$5.900,https://www.predictit.org/markets/detail/6224
12/17/2019 6:09 PM,Buy Yes,Will Tulsi Gabbard vote Nay on any article of impeachment by 12/30?,Yes,10,$0.50,$0.00,$0.000,($5.000),($5.000),https://www.predictit.org/markets/detail/6224
12/17/2019 6:07 PM,Sell Yes,Will Tulsi Gabbard vote Nay on any article of impeachment by 12/30?,Gabbard-Nay-on-impeachment-by-12-30,3,$0.54,$0.12,($0.012),$1.500,$1.608,https://www.predictit.org/markets/detail/6224
12/17/2019 6:07 PM,Sell Yes,Will Tulsi Gabbard vote Nay on any article of impeachment by 12/30?,Yes,2,$0.54,$0.08,($0.008),$1.000,$1.072,https://www.predictit.org/markets/detail/6224
12/17/2019 6:01 PM,Buy Yes,Will Tulsi Gabbard vote Nay on any article of impeachment by 12/30?,Yes,3,$0.50,$0.00,$0.000,($1.500),($1.500),https://www.predictit.org/markets/detail/6224
12/17/2019 5:59 PM,Buy Yes,Will Tulsi Gabbard vote Nay on any article of impeachment by 12/30?,Yes,2,$0.50,$0.00,$0.000,($1.000),($1.000),https://www.predictit.org/markets/detail/6224
12/15/2019 5:48 PM,Buy Yes,Who will speak the least at the December Democratic debate?,Steyer,5,$0.32,$0.00,$0.000,($1.600),($1.600),https://www.predictit.org/markets/detail/6220
12/15/2019 10:31 AM,Sell No,Who will win the 2020 Democratic presidential nomination?,Gabbard,5,$0.98,$0.10,($0.010),($0.160),($0.070),https://www.predictit.org/markets/detail/3633
12/15/2019 10:25 AM,Buy Yes,Who will speak the least at the December Democratic debate?,Steyer,5,$0.39,$0.00,$0.000,($1.950),($1.950),https://www.predictit.org/markets/detail/6220
12/15/2019 10:25 AM,Buy Yes,Who will speak the least at the December Democratic debate?,Yang,10,$0.41,$0.00,$0.000,($4.100),($4.100),https://www.predictit.org/markets/detail/6220
12/14/2019 12:48 AM,Sell Yes,Will another Democrat drop out before the Dec.19 debate?,Another-drop-out-before-Dec-Dem-debate,4,$0.34,$0.04,($0.004),$1.320,$1.356,https://www.predictit.org/markets/detail/6206
12/13/2019 10:09 PM,Sell Yes,Will another Democrat drop out before the Dec.19 debate?,Yes,1,$0.34,$0.01,($0.001),$0.330,$0.339,https://www.predictit.org/markets/detail/6206
12/13/2019 1:18 PM,Buy Yes,Will another Democrat drop out before the Dec.19 debate?,Yes,5,$0.33,$0.00,$0.000,($1.650),($1.650),https://www.predictit.org/markets/detail/6206
12/13/2019 1:00 PM,Buy Yes,Who will win the 2020 Democratic presidential nomination?,Klobuchar,5,$0.04,$0.00,$0.000,($0.200),($0.200),https://www.predictit.org/markets/detail/3633
12/13/2019 12:29 PM,Buy No,How many Democrats will have dropped out by Dec. 31?,13,1,$0.79,$0.00,$0.000,($0.790),($0.790),https://www.predictit.org/markets/detail/6176
12/13/2019 12:28 PM,Buy No,How many Democrats will have dropped out by Dec. 31?,13,4,$0.79,$0.00,$0.000,($3.160),($3.160),https://www.predictit.org/markets/detail/6176
12/13/2019 11:52 AM,Sell Yes,Will Donald Trump be impeached by year-end 2019?,Will-Trump-be-impeached-by-end-of-2019,3,$0.89,$0.18,($0.018),$2.490,$2.652,https://www.predictit.org/markets/detail/4319
12/10/2019 10:23 PM,Sell Yes,Will another Democrat drop out before the Dec.19 debate?,Another-drop-out-before-Dec-Dem-debate,3,$0.45,$0.12,($0.012),$1.230,$1.338,https://www.predictit.org/markets/detail/6206
12/10/2019 10:05 PM,Buy Yes,Who will win the 2020 Democratic presidential nomination?,Klobuchar,10,$0.04,$0.00,$0.000,($0.400),($0.400),https://www.predictit.org/markets/detail/3633
12/10/2019 9:25 PM,Buy No,Who will win the 2020 Iowa Democratic caucuses?,Buttigieg,5,$0.74,$0.00,$0.000,$1.170,$1.170,https://www.predictit.org/markets/detail/5241
12/10/2019 9:23 PM,Buy Yes,Will Donald Trump be impeached by year-end 2019?,Yes,3,$0.83,$0.00,$0.000,($2.490),($2.490),https://www.predictit.org/markets/detail/4319
12/10/2019 9:19 PM,Buy Yes,Will another Democrat drop out before the Dec.19 debate?,Yes,3,$0.41,$0.00,$0.000,($1.230),($1.230),https://www.predictit.org/markets/detail/6206
12/10/2019 9:12 PM,Sell No,Who will win the 2020 Iowa Democratic caucuses?,Gabbard,5,$0.99,$0.00,$0.000,($0.030),($0.030),https://www.predictit.org/markets/detail/5241
12/10/2019 3:06 PM,Sell Yes,Will Andrew Yang participate in the December Democratic debate?,Will-Yang-participate-in-Dec-debate,15,$0.98,$8.40,($0.840),$6.300,$13.860,https://www.predictit.org/markets/detail/6120
12/10/2019 3:00 PM,Sell Yes,How many candidates will participate in December Democratic debate?,6-,8,$0.05,($3.60),$0.000,$4.000,$0.400,https://www.predictit.org/markets/detail/6123
12/10/2019 3:00 PM,Sell Yes,How many candidates will participate in December Democratic debate?,6-,7,$0.05,($3.15),$0.000,$3.500,$0.350,https://www.predictit.org/markets/detail/6123
12/10/2019 2:39 PM,Buy Yes,Will Andrew Yang participate in the December Democratic debate?,Yes,15,$0.42,$0.00,$0.000,($6.300),($6.300),https://www.predictit.org/markets/detail/6120
12/10/2019 2:38 PM,Buy Yes,How many candidates will participate in December Democratic debate?,6-,8,$0.50,$0.00,$0.000,($4.000),($4.000),https://www.predictit.org/markets/detail/6123
12/10/2019 2:37 PM,Buy Yes,How many candidates will participate in December Democratic debate?,6-,7,$0.50,$0.00,$0.000,($3.500),($3.500),https://www.predictit.org/markets/detail/6123
12/10/2019 2:00 PM,Sell No,Will Andrew Yang participate in the December Democratic debate?,Will-Yang-participate-in-Dec-debate,10,$0.55,$0.00,$0.000,$5.500,$5.500,https://www.predictit.org/markets/detail/6120
12/10/2019 2:00 PM,Sell No,Will Andrew Yang participate in the December Democratic debate?,No,10,$0.55,$2.89,($0.289),$2.610,$5.211,https://www.predictit.org/markets/detail/6120
12/10/2019 1:58 PM,Sell Yes,How many candidates will participate in December Democratic debate?,7,4,$0.70,$1.48,($0.148),$1.320,$2.652,https://www.predictit.org/markets/detail/6123
12/10/2019 1:58 PM,Sell Yes,How many candidates will participate in December Democratic debate?,7,10,$0.70,$3.52,($0.352),$3.480,$6.648,https://www.predictit.org/markets/detail/6123
12/10/2019 1:26 PM,Buy Yes,How many candidates will participate in December Democratic debate?,7,4,$0.33,$0.00,$0.000,($1.320),($1.320),https://www.predictit.org/markets/detail/6123
12/10/2019 1:23 PM,Sell Yes,How many candidates will participate in December Democratic debate?,7,5,$0.40,$0.37,($0.037),$1.630,$1.963,https://www.predictit.org/markets/detail/6123
12/10/2019 1:03 PM,Buy Yes,How many candidates will participate in December Democratic debate?,7,1,$0.33,$0.00,$0.000,($0.330),($0.330),https://www.predictit.org/markets/detail/6123
12/10/2019 12:12 PM,Buy Yes,How many candidates will participate in December Democratic debate?,7,2,$0.35,$0.00,$0.000,($0.700),($0.700),https://www.predictit.org/markets/detail/6123
12/10/2019 12:11 PM,Buy Yes,How many candidates will participate in December Democratic debate?,7,1,$0.35,$0.00,$0.000,($0.350),($0.350),https://www.predictit.org/markets/detail/6123
12/10/2019 12:03 PM,Buy Yes,How many candidates will participate in December Democratic debate?,7,10,$0.35,$0.00,$0.000,($3.500),($3.500),https://www.predictit.org/markets/detail/6123
12/10/2019 11:48 AM,Buy No,Will Andrew Yang participate in the December Democratic debate?,No,10,$0.55,$0.00,$0.000,($5.500),($5.500),https://www.predictit.org/markets/detail/6120
12/10/2019 11:08 AM,Buy Yes,How many candidates will participate in December Democratic debate?,7,1,$0.23,$0.00,$0.000,($0.230),($0.230),https://www.predictit.org/markets/detail/6123
12/10/2019 11:01 AM,Sell Yes,How many candidates will participate in December Democratic debate?,7,2,$0.42,($0.06),$0.000,$0.900,$0.840,https://www.predictit.org/markets/detail/6123
12/10/2019 11:01 AM,Sell Yes,How many candidates will participate in December Democratic debate?,7,4,$0.42,($0.11),$0.000,$1.790,$1.680,https://www.predictit.org/markets/detail/6123
12/09/2019 10:09 PM,Sell No,Will Andrew Yang participate in the December Democratic debate?,No,1,$0.29,($0.01),$0.000,$0.300,$0.290,https://www.predictit.org/markets/detail/6120
12/09/2019 10:09 PM,Sell No,Will Andrew Yang participate in the December Democratic debate?,No,9,$0.29,$0.00,$0.000,$2.610,$2.610,https://www.predictit.org/markets/detail/6120
12/09/2019 10:09 PM,Sell No,Will Andrew Yang participate in the December Democratic debate?,No,1,$0.28,($0.01),$0.000,$0.290,$0.280,https://www.predictit.org/markets/detail/6120
12/09/2019 9:06 PM,Sell No,Will Tulsi Gabbard participate in the December Democratic debate?,Will-Gabbard-participate-in-Dec-debate,1,$0.95,$0.33,($0.033),$0.620,$0.917,https://www.predictit.org/markets/detail/6119
12/09/2019 9:06 PM,Sell No,Will Tulsi Gabbard participate in the December Democratic debate?,No,13,$0.95,$4.37,($0.437),$7.980,$11.913,https://www.predictit.org/markets/detail/6119
12/09/2019 9:01 PM,Sell Yes,How many candidates will participate in December Democratic debate?,8,1,$0.02,($0.34),$0.000,$0.360,$0.020,https://www.predictit.org/markets/detail/6123
12/09/2019 9:01 PM,Sell Yes,How many candidates will participate in December Democratic debate?,8,16,$0.02,($5.87),$0.000,$6.190,$0.320,https://www.predictit.org/markets/detail/6123
12/08/2019 4:11 PM,Buy No,Will Andrew Yang participate in the December Democratic debate?,No,3,$0.17,$0.00,$0.000,($0.510),($0.510),https://www.predictit.org/markets/detail/6120
12/07/2019 5:50 PM,Buy Yes,How many candidates will participate in December Democratic debate?,8,1,$0.36,$0.00,$0.000,($0.360),($0.360),https://www.predictit.org/markets/detail/6123
